product_code,description,cost,sale_price,margin,period,notes
10 DDI Block,10 DDI Block - 09 3001140 - 49 (01/10/2024 - 31/10/2024),5.5,6.32,15%,2024-10-01 - 2024-10-31,
2Degrees SIM card,2Degrees SIM card - 896424002550021946 it360.0221730849 (01/10/2024 - 31/10/2024),8.6,9.89,15%,2024-10-01 - 2024-10-31,
95th Percentile Placeholder,95th Percentile Placeholder - 95th Percentile Burst @ $2.00 per Mbps (01/10/2024 - 31/10/2024),0.0,0.0,15%,2024-10-01 - 2024-10-31,
Australia 100 DDI Block,Australia 100 DDI Block - 61735372400-99 (01/10/2024 - 31/10/2024),65.0,74.75,15%,2024-10-01 - 2024-10-31,
Australia DDI,Australia DDI - 61291804830 (01/10/2024 - 31/10/2024),1.6,1.84,15%,2024-10-01 - 2024-10-31,
Australia SIP Line & DDI,Australia SIP Line & DDI - 61736085490 (01/10/2024 - 31/10/2024),8.0,9.2,15%,2024-10-01 - 2024-10-31,
Australia Toll Free Number,Australia Toll Free Number - 1800 764824 (01/10/2024 - 31/10/2024),16.0,18.4,15%,2024-10-01 - 2024-10-31,
Blended Internet Service,Blended Internet Service - Blended Transit 100Mbps commit @ $3 per Mbps (01/10/2024 - 31/10/2024) Mbps: 100,300.0,345.0,15%,2024-10-01 - 2024-10-31,
Blended Internet Service,Blended Internet Service - 500Mbps Blended IP Transit @ $1.00 per Mbps (01/10/2024 - 31/10/2024) Mbps: 500,500.0,575.0,15%,2024-10-01 - 2024-10-31,
Connection for ASID,Connection for ASID Small Business Fibre 920 1639672624 (Order: 108820051),79.87,91.85,15%,2024-09-01 - 2024-09-30,
DDI,DDI for 09 2803609 Part Month Credit from (05/09/2024 - 30/09/2024),-0.48,-0.55,15%,2024-09-05 - 2024-09-30,
DDI,DDI - 09 2003357 (01/10/2024 - 31/10/2024),0.55,0.63,15%,2024-10-01 - 2024-10-31,
Devoli Toll Free Number,Devoli Toll Free Number - 0800 366080 (01/10/2024 - 31/10/2024),11.0,12.65,15%,2024-10-01 - 2024-10-31,
FWA - Urban Unlimited,FWA - Urban Unlimited - 642053990481495 (01/10/2024 - 31/10/2024),52.5,60.37,15%,2024-10-01 - 2024-10-31,
Fax 2 Email,Fax 2 Email - 07 9283150 (01/10/2024 - 31/10/2024),6.0,6.9,15%,2024-10-01 - 2024-10-31,
Microsoft Teams DDI,Microsoft Teams DDI - 09 8835397 (01/10/2024 - 31/10/2024),1.0,1.15,15%,2024-10-01 - 2024-10-31,
Microsoft Teams Trunk,Microsoft Teams Trunk - _teams.WilsonHarle.devoli-teams.com (01/10/2024 - 31/10/2024) Channel Amount: 1 Channel,8.0,9.2,15%,2024-10-01 - 2024-10-31,
Plus 1,Plus 1 - 09 2220036 (01/10/2024 - 31/10/2024) Mobile Minutes:  Fixed Minutes:  International Minutes:  Channels:,105.93,121.82,15%,2024-10-01 - 2024-10-31,
Prompt Payment Discount,Prompt Payment Discount 2%,-234.53,-269.71,15%,2024-09-01 - 2024-09-30,
SIP Line & DDI,SIP Line & DDI for 09 2221144 Part Month Credit from (05/09/2024 - 30/09/2024),-5.2,-5.98,15%,2024-09-05 - 2024-09-30,
SIP Line & DDI,SIP Line & DDI - 09 2223891 (01/10/2024 - 31/10/2024),6.0,6.9,15%,2024-10-01 - 2024-10-31,
Standard 1,Standard 1 - Standard 1 - 09 8834884 (01/10/2024 - 31/10/2024) Mobile Minutes:  Fixed Minutes:  International Minutes:  Channels:,52.43,60.29,15%,2024-10-01 - 2024-10-31,
Static IP Address,Static IP Address - 202.74.199.42 (01/10/2024 - 31/10/2024),20.0,23.0,15%,2024-10-01 - 2024-10-31,
Static IP Address,Static IP Address - /29 Range (01/10/2024 - 31/10/2024),50.0,57.5,15%,2024-10-01 - 2024-10-31,
Static IP Address,Static IP Address - 202.74.220.48/28 (01/10/2024 - 31/10/2024),100.0,115.0,15%,2024-10-01 - 2024-10-31,
Static IP Address,Static IP Address - 202.74.213.192/26 (01/10/2024 - 31/10/2024),350.0,402.5,15%,2024-10-01 - 2024-10-31,
UFB - Business 1,UFB - Business 1 - ENVIBB03509133 (Order: 976040) (01/10/2024 - 31/10/2024) Contract Term: Casual Speed: 2.5 Mbps,239.03,274.88,15%,2024-10-01 - 2024-10-31,
UFB - Evolve 100/100,UFB - Evolve 100/100 - FSID00031148 (OOT: 49449) (01/10/2024 - 31/10/2024) Contract Term: 12 Month Term,76.0,87.4,15%,2024-10-01 - 2024-10-31,
UFB - Evolve 100/50,UFB - Evolve 100/50 - UFF000002388217 (OOT: 7363335) (01/10/2024 - 31/10/2024) Contract Term: 12 Month Term,72.42,83.28,15%,2024-10-01 - 2024-10-31,
UFB - Evolve 200/20/S,UFB - Evolve 200/20/S - 1636905240 (Order: 102321944)  (01/10/2024 - 31/10/2024) Contract Term: 12 Month Term,66.78,76.8,15%,2024-10-01 - 2024-10-31,
UFB - Evolve 200/200,UFB - Evolve 200/200 - UFF000002688823 (Order: 6098728)  (01/10/2024 - 31/10/2024) Contract Term: 12 Month Term,113.6,130.64,15%,2024-10-01 - 2024-10-31,
UFB - Home Fibre 300,UFB - Home Fibre 300 - UFF000004084504 (Order: 15413023) (01/10/2024 - 31/10/2024) Contract Term: Casual,64.5,74.17,15%,2024-10-01 - 2024-10-31,
UFB - Home Fibre 920,UFB - Home Fibre 920 - 1638678803 (Order: 106551214)  (01/10/2024 - 31/10/2024) Contract Term: Casual,79.5,91.42,15%,2024-10-01 - 2024-10-31,
UFB - SME Fibre 300,UFB - SME Fibre 300 - UFF000000007517 (OOT: 1507281) (01/10/2024 - 31/10/2024) Contract Term: 12 Month Term,76.0,87.4,15%,2024-10-01 - 2024-10-31,
UFB - SME Fibre Max,UFB - SME Fibre Max - ENVIBB02450175 (Order: 829543)  (01/10/2024 - 31/10/2024) Contract Term: Casual,95.84,110.22,15%,2024-10-01 - 2024-10-31,
UFB - SME Fibre Max,UFB - SME Fibre Max - ENVIBB02517762 (Order: 993771)  with Layer2 (01/10/2024 - 31/10/2024) Contract Term: Casual,106.84,122.87,15%,2024-10-01 - 2024-10-31,
UFB - SME Fibre Max,UFB - SME Fibre Max - UFF000005369168 (Order: 19133007)  with Layer2 (01/10/2024 - 31/10/2024) Contract Term: Casual,114.03,131.13,15%,2024-10-01 - 2024-10-31,
UFB - Small Business Fibre 500,UFB - Small Business Fibre 500 - 1638802409 (Order: 106964305)  (01/10/2024 - 31/10/2024) Contract Term: Casual,69.88,80.36,15%,2024-10-01 - 2024-10-31,
UFB - Small Business Fibre 500,UFB - Small Business Fibre 500 - 1639010712 (Order: 107236042)  with Layer2 (01/10/2024 - 31/10/2024) Contract Term: Casual,80.88,93.01,15%,2024-10-01 - 2024-10-31,
UFB - Small Business Fibre 920,Part Month Credit For ASID 1639672624 - 202.74.202.208 (26/09/2024 - 30/09/2024),-3.67,-4.22,15%,2024-09-26 - 2024-09-30,
UFB - Small Business Fibre 920,Part Month for ASID 1639672624 (Order: 108820051) (24/09/2024 - 30/09/2024),18.64,21.44,15%,2024-09-24 - 2024-09-30,
UFB - Small Business Fibre 920,UFB - Small Business Fibre 920 - 1638022250 (Order: 104743671)  (01/10/2024 - 31/10/2024) Contract Term: 12 Month Term,79.87,91.85,15%,2024-10-01 - 2024-10-31,
UFB - Small Business Fibre 920,UFB - Small Business Fibre 920 - 1638681092 (Order: 106728418)  with Layer2 (01/10/2024 - 31/10/2024) Contract Term: Casual,90.87,104.5,15%,2024-10-01 - 2024-10-31,
Unlimited Data,Unlimited Data Static IP Part Month Credit for ASID 1638891056 + 202.74.200.112 (02/09/2024 - 30/09/2024),-21.27,-24.46,15%,2024-09-02 - 2024-09-30,
Unlimited Data,Part Month Unlimited Data Static IP for  1639672624 - 202.74.202.208 (24/09/2024 - 30/09/2024),5.13,5.9,15%,2024-09-24 - 2024-09-30,
Unlimited Data,Unlimited Data - Unlimited Data - avl@u.it360.co.nz (01/10/2024 - 31/10/2024),27.0,31.05,15%,2024-10-01 - 2024-10-31,
Unlimited Data CG Nat,Unlimited Data CG Nat - 1638802409 (01/10/2024 - 31/10/2024),12.0,13.8,15%,2024-10-01 - 2024-10-31,
Unlimited Data Public,Unlimited Data Public - 1638800851 (01/10/2024 - 31/10/2024),17.0,19.55,15%,2024-10-01 - 2024-10-31,
Unlimited Data Static IP,Unlimited Data Static IP - 1636889307 - 202.74.201.65 (01/10/2024 - 31/10/2024),22.0,25.3,15%,2024-10-01 - 2024-10-31,
VDSL Broadband,VDSL Broadband - 1684965982 (OOT: 51957153) (01/10/2024 - 31/10/2024) Data Allowance: Custom Data Plan Contract Term: 12 Month Term ASID:,63.95,73.54,15%,2024-10-01 - 2024-10-31,
Voice Calling - Details,0508 Free Call,0.0,0.0,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,03 Region,0.018,0.02,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,United States,0.036,0.04,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,Australia Mobile,0.11,0.13,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,09 Region,0.1218,0.14,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,07 Region,0.1548,0.18,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,03 Region,0.1683,0.19,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,07 Region,0.1788,0.21,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,04 Region,0.1902,0.22,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,04 Region,0.2573999999999999,0.3,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,Toll Free Inbound - AU,0.32,0.37,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,Australia Mobile,0.473,0.54,15%,2024-09-01 - 2024-09-30,
Voice Calling - Details,Australia Mobile,0.4877,0.56,15%,2024-09-01 - 2024-09-30,
